indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D2,Demolition business process,539,Leisure,false,3008,63,2.0944148936170213,62,98.4126984126984,27779,84.0
D2,Demolition business process,221,Production & energy,false,2512,51,2.0302547770700636,51,100.0,105730,328.0
D2,Demolition business process,443,Institutions,false,303,6,1.9801980198019802,6,100.0,13046,200.0
D2,Demolition business process,521,Leisure,false,2456,48,1.9543973941368076,47,97.91666666666666,6986,125.0
D2,Demolition business process,431,Institutions,false,1407,26,1.8479033404406537,26,100.0,44163,485.5
D2,Demolition business process,416,Institutions,false,992,18,1.8145161290322582,18,100.0,3077,100.0
D2,Demolition business process,411,Institutions,false,955,17,1.780104712041885,16,94.11764705882352,7762,335.5
D2,Demolition business process,319,Transport,false,1000,17,1.7000000000000002,17,100.0,4940,105.0
D2,Demolition business process,532,Leisure,false,359,6,1.6713091922005572,6,100.0,4712,832.0
D2,Demolition business process,419,Institutions,false,4954,81,1.6350423899878885,78,96.29629629629629,23340,111.5
D2,Demolition business process,314,Transport,false,5766,94,1.6302462712452306,94,100.0,18084,122.0
D2,Demolition business process,439,Institutions,false,878,14,1.5945330296127564,14,100.0,12442,256.0
D2,Demolition business process,585,Leisure,false,20917,333,1.5920065018884162,319,95.7957957957958,6942,17.0
D2,Demolition business process,449,Institutions,false,3016,48,1.5915119363395225,47,97.91666666666666,18701,156.0
D2,Demolition business process,533,Leisure,false,2929,41,1.399795151928986,40,97.5609756097561,76421,1482.0
D2,Demolition business process,311,Transport,false,1629,22,1.350521792510743,22,100.0,6903,148.5
D2,Demolition business process,332,Commerce & services,false,523,7,1.338432122370937,7,100.0,2208,253.0
D2,Demolition business process,415,Institutions,false,2436,32,1.3136288998357963,32,100.0,10487,268.5
D2,Demolition business process,413,Institutions,false,463,6,1.2958963282937366,6,100.0,6232,574.5
D2,Demolition business process,442,Institutions,false,891,11,1.2345679012345678,11,100.0,7794,95.0
D2,Demolition business process,239,Production & energy,false,3148,38,1.207115628970775,37,97.36842105263158,6724,38.0
D2,Demolition business process,529,Leisure,false,2171,26,1.1976047904191618,26,100.0,1479,20.0
D2,Demolition business process,534,Leisure,false,337,4,1.1869436201780417,4,100.0,1673,217.5
D2,Demolition business process,412,Institutions,false,2623,31,1.181852840259245,31,100.0,11491,112.0
D2,Demolition business process,140,Housing,false,177204,2061,1.163066296471863,853,41.387675885492484,560817,218.0
D2,Demolition business process,540,Leisure,false,23597,274,1.1611645548162903,160,58.3941605839416,5079,30.0
D2,Demolition business process,185,Housing,false,7846,79,1.0068824878919196,77,97.46835443037975,6251,58.0
D2,Demolition business process,232,Production & energy,false,10149,102,1.0050251256281406,102,100.0,16418,50.0
D2,Demolition business process,535,Leisure,false,5355,48,0.8963585434173669,48,100.0,16646,243.0
D2,Demolition business process,950,Outbuildings & other,false,59125,476,0.8050739957716703,12,2.5210084033613445,630,24.0
D2,Demolition business process,312,Transport,false,753,6,0.796812749003984,6,100.0,30919,4376.0
D2,Demolition business process,121,Housing,false,1413,9,0.6369426751592357,9,100.0,864,90.0
D2,Demolition business process,432,Institutions,false,167,1,0.5988023952095809,1,100.0,104,104.0
D2,Demolition business process,414,Institutions,false,3776,21,0.5561440677966102,21,100.0,9120,206.0
D2,Demolition business process,,,false,28915,142,0.4910945875842988,1,0.7042253521126761,80,80.0
D2,Demolition business process,522,Leisure,false,6486,31,0.4779525131051496,30,96.7741935483871,1354,20.5
D2,Demolition business process,960,Outbuildings & other,false,9847,44,0.4468365999796892,1,2.272727272727273,17,17.0
D2,Demolition business process,940,Outbuildings & other,false,78179,345,0.4412949769119584,10,2.898550724637681,2941,73.0
D2,Demolition business process,122,Housing,false,271,1,0.36900369003690037,1,100.0,117,117.0
D2,Demolition business process,132,Housing,false,40884,84,0.2054593484003522,80,95.23809523809523,12199,149.5
D2,Demolition business process,131,Housing,false,118804,207,0.17423655769166022,198,95.65217391304348,56437,129.0
D2,Demolition business process,523,Leisure,false,1603,2,0.12476606363069245,2,100.0,230,115.0
D2,Demolition business process,444,Institutions,false,119,0,0.0,0,,0,
D2,Demolition business process,451,Institutions,false,30,0,0.0,0,,0,
D3,Historical AND process-3,210,Agriculture,true,104897,5775,5.505400535763654,5772,99.94805194805195,1317468,149.0
D3,Historical AND process-3,390,Commerce & services,true,1597,76,4.758922980588603,76,100.0,10675,53.0
D3,Historical AND process-3,440,Institutions,true,5333,230,4.312769548096756,230,100.0,61844,203.0
D3,Historical AND process-3,310,Transport,true,3350,138,4.119402985074627,138,100.0,38291,140.5
D3,Historical AND process-3,490,Institutions,true,2059,62,3.011170471102477,62,100.0,20652,197.0
D3,Historical AND process-3,520,Leisure,true,1116,32,2.867383512544803,32,100.0,3093,54.0
D3,Historical AND process-3,290,Production & energy,true,4409,123,2.7897482422317985,123,100.0,37518,105.0
D3,Historical AND process-3,430,Institutions,true,1861,51,2.740462117141322,51,100.0,76423,624.0
D3,Historical AND process-3,530,Leisure,true,3969,107,2.695893172083648,107,100.0,42439,160.0
D3,Historical AND process-3,420,Institutions,true,11989,311,2.5940445408290933,311,100.0,181530,189.0
D3,Historical AND process-3,220,Production & energy,true,18284,421,2.302559614963903,421,100.0,251372,249.0
D3,Historical AND process-3,410,Institutions,true,3110,69,2.2186495176848875,69,100.0,26982,229.0
D3,Historical AND process-3,320,Commerce & services,true,34225,734,2.144631117604091,733,99.86376021798365,455702,267.0
D3,Historical AND process-3,230,Production & energy,true,5145,101,1.9630709426627795,101,100.0,13772,63.0
D3,Historical AND process-3,330,Commerce & services,true,6038,116,1.9211659489897317,116,100.0,29692,161.5
D3,Historical AND process-3,130,Housing,true,178208,466,0.2614921889028551,466,100.0,82191,105.0
D3,Historical AND process-3,214,Agriculture,false,28064,3062,10.91077537058153,3062,100.0,1075440,208.0
D3,Historical AND process-3,215,Agriculture,false,5190,434,8.362235067437378,434,100.0,805871,720.0
D3,Historical AND process-3,315,Transport,false,245,12,4.8979591836734695,12,100.0,9485,260.5
D3,Historical AND process-3,990,Outbuildings & other,false,782,36,4.603580562659847,16,44.44444444444444,4018,112.0
D3,Historical AND process-3,211,Agriculture,false,40953,1587,3.8751739799282108,1587,100.0,459711,225.0
D3,Historical AND process-3,234,Production & energy,false,2967,99,3.336703741152679,99,100.0,21406,54.0
D3,Historical AND process-3,216,Agriculture,false,45150,1477,3.2713178294573644,1477,100.0,322603,170.0
D3,Historical AND process-3,970,Agriculture,false,126311,4045,3.202413091496386,3952,97.7008652657602,97217,0.0
D3,Historical AND process-3,212,Agriculture,false,41471,1310,3.158833883918883,1310,100.0,359500,210.0
D3,Historical AND process-3,325,Commerce & services,false,3388,104,3.0696576151121606,104,100.0,17812,130.5
D3,Historical AND process-3,213,Agriculture,false,6454,198,3.0678648899907035,198,100.0,33574,64.5
D3,Historical AND process-3,313,Transport,false,9834,288,2.928615009151922,288,100.0,91923,165.5
D3,Historical AND process-3,233,Production & energy,false,5344,151,2.8255988023952097,151,100.0,12586,37.0
D3,Historical AND process-3,229,Production & energy,false,7569,213,2.8141101862861673,213,100.0,40249,91.0
D3,Historical AND process-3,218,Agriculture,false,10468,294,2.80855941918227,294,100.0,82527,191.0
D3,Historical AND process-3,323,Commerce & services,false,63861,1763,2.760683359170699,1763,100.0,965580,215.0
D3,Historical AND process-3,219,Agriculture,false,54915,1451,2.642265319129564,1451,100.0,295475,128.0
D3,Historical AND process-3,441,Institutions,false,10922,286,2.61856802783373,286,100.0,87841,255.0
D3,Historical AND process-3,321,Commerce & services,false,36355,918,2.5250997111814053,918,100.0,441136,178.0
D3,Historical AND process-3,322,Commerce & services,false,23910,595,2.4884985361773317,595,100.0,344046,345.0
D3,Historical AND process-3,110,Housing,false,148257,3639,2.454521540298266,3639,100.0,488821,125.0
D3,Historical AND process-3,531,Leisure,false,7147,174,2.434587938995383,174,100.0,31400,129.0
D3,Historical AND process-3,223,Production & energy,false,32006,768,2.399550084359183,768,100.0,286257,206.0
D3,Historical AND process-3,222,Production & energy,false,17549,421,2.3989970938515013,421,100.0,410858,429.0
D3,Historical AND process-3,329,Commerce & services,false,5132,123,2.3967264224473888,123,100.0,53259,176.0
D3,Historical AND process-3,510,Leisure,false,307349,7279,2.3683174501950552,7277,99.97252369831021,439036,56.0
D3,Historical AND process-3,999,Outbuildings & other,false,38692,866,2.2381887728729453,1,0.11547344110854503,0,0.0
D3,Historical AND process-3,339,Commerce & services,false,4384,98,2.235401459854015,98,100.0,30483,40.0
D3,Historical AND process-3,217,Agriculture,false,102042,2234,2.1892946041825914,2234,100.0,415609,130.0
D3,Historical AND process-3,331,Commerce & services,false,3869,81,2.093564228482812,81,100.0,47080,336.0
D3,Historical AND process-3,333,Commerce & services,false,7680,160,2.083333333333333,160,100.0,40043,141.5
D3,Historical AND process-3,231,Production & energy,false,2359,49,2.0771513353115725,49,100.0,15576,188.0
D3,Historical AND process-3,429,Institutions,false,8719,181,2.0759261383186143,181,100.0,118735,229.0
D3,Historical AND process-3,324,Commerce & services,false,629,13,2.066772655007949,13,100.0,44433,1024.0
D3,Historical AND process-3,334,Commerce & services,false,3614,73,2.0199225235196456,73,100.0,17045,148.0
D3,Historical AND process-3,421,Institutions,false,12810,254,1.9828259172521467,254,100.0,154494,225.0
D3,Historical AND process-3,443,Institutions,false,303,6,1.9801980198019802,6,100.0,13046,200.0
D3,Historical AND process-3,422,Institutions,false,886,17,1.9187358916478554,17,100.0,55791,1679.0
D3,Historical AND process-3,190,Housing,false,9266,173,1.8670407943017484,173,100.0,23084,80.0
D3,Historical AND process-3,590,Leisure,false,20830,386,1.8530964954392704,385,99.74093264248705,51478,61.0
D3,Historical AND process-3,521,Leisure,false,2456,45,1.8322475570032575,45,100.0,6644,104.0
D3,Historical AND process-3,433,Institutions,false,2150,38,1.7674418604651163,38,100.0,11346,203.0
D3,Historical AND process-3,539,Leisure,false,3008,53,1.7619680851063828,53,100.0,12474,66.0
D3,Historical AND process-3,532,Leisure,false,359,6,1.6713091922005572,6,100.0,4712,832.0
D3,Historical AND process-3,431,Institutions,false,1407,23,1.634683724235963,23,100.0,30158,440.0
D3,Historical AND process-3,416,Institutions,false,992,16,1.6129032258064515,16,100.0,2489,100.0
D3,Historical AND process-3,319,Transport,false,1000,16,1.6,16,100.0,4689,100.0
D3,Historical AND process-3,910,Outbuildings & other,false,589301,9291,1.5766136490520124,141,1.517597675169519,9889,56.0
D3,Historical AND process-3,930,Outbuildings & other,false,1230748,19283,1.5667707767958998,1002,5.196286884820826,126962,99.0
D3,Historical AND process-3,150,Housing,false,3288,51,1.551094890510949,51,100.0,22343,288.0
D3,Historical AND process-3,314,Transport,false,5766,86,1.4915019077349982,86,100.0,17003,122.0
D3,Historical AND process-3,221,Production & energy,false,2512,37,1.4729299363057324,37,100.0,28348,288.0
D3,Historical AND process-3,585,Leisure,false,20917,296,1.415116890567481,296,100.0,6165,16.0
D3,Historical AND process-3,449,Institutions,false,3016,42,1.3925729442970822,42,100.0,15954,150.0
D3,Historical AND process-3,419,Institutions,false,4954,65,1.3120710536939846,65,100.0,11221,98.0
D3,Historical AND process-3,411,Institutions,false,955,12,1.256544502617801,12,100.0,4114,220.0
